GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Xcode Maven Plugin,com.sap.prd.mobile.ios.mios.versioninfo.v_1_2_0,Dependency,44,23,2,2,9,5,5,5,4,4
Xcode Maven Plugin,com.sap.prd.mobile.ios.mios.versioninfo.v_1_2_0,Versions,48,19,3,1,9,5,6,4,4,4
Xcode Maven Plugin,com.sap.prd.mobile.ios.mios.versioninfo.v_1_2_0,SCM,17,17,0,0,1,7,1,5,1,5
Xcode Maven Plugin,com.sap.prd.mobile.ios.mios.versioninfo.v_1_2_0,Coordinates,32,24,0,0,1,10,1,7,1,7
Xcode Maven Plugin,com.sap.prd.mobile.ios.mios.versioninfo.v_1_2_2,Dependency,22,45,1,3,1,13,2,8,1,7
Xcode Maven Plugin,com.sap.prd.mobile.ios.mios.versioninfo.v_1_2_2,Versions,33,44,2,2,4,14,5,7,3,7
Xcode Maven Plugin,com.sap.prd.mobile.ios.mios.versioninfo.v_1_2_2,SCM,17,17,0,0,1,7,1,5,1,5
Xcode Maven Plugin,com.sap.prd.mobile.ios.mios.versioninfo.v_1_2_2,Coordinates,32,24,0,0,1,10,1,7,1,7
Xcode Maven Plugin,com.sap.prd.mobile.ios.mios.versioninfo,Coordinates,3,0,0,0,1,0,1,0,1,0
Xcode Maven Plugin,com.sap.prd.mobile.ios.mios,Options,157,203,34,24,21,36,23,15,2,7
Xcode Maven Plugin,com.sap.prd.mobile.ios.mios,XCodeOtaHtmlGeneratorMojo,359,0,20,0,49,0,15,0,5,0
Xcode Maven Plugin,com.sap.prd.mobile.ios.mios,XCodeCopySourcesMojo.new FileFilter() {...},45,0,8,0,3,0,6,0,2,0
Xcode Maven Plugin,com.sap.prd.mobile.ios.mios,UpdateCFBundleVersionInPListTask,0,21,0,0,0,6,0,2,0,2
Xcode Maven Plugin,com.sap.prd.mobile.ios.mios,XCodeVerificationCheckMojo,814,112,37,13,140,18,30,8,10,3
Xcode Maven Plugin,com.sap.prd.mobile.ios.mios,XCodeProjectFileDoesNotExistException,12,4,0,0,6,2,3,1,3,1
Xcode Maven Plugin,com.sap.prd.mobile.ios.mios,Settings,201,181,29,19,25,35,22,11,4,5
Xcode Maven Plugin,com.sap.prd.mobile.ios.mios,XCodePackageMojo,106,0,6,0,21,0,5,0,2,0
